title,context
[총선]더불어민주당 청주권 후보들 성안길 총집결,"▲ 더불어민주당 청주지역 청원구 정정순, 서원구 이장섭, 흥덕구 도종환, 청원구 변재일 후보가 성안길 합동유세를 진행하고 있다. (C) 임창용 기자 더불어민주당 청주권 후보인 상당구 정정순, 흥덕구 도종환, 서원구..."
"""민주당 만세, 더불어시민당…"" ""안돼!"" 선거법 줄타는 유세장",“‘더불어민주당’ 하면 ‘만세’ 하고요. ‘더불어시민당’ 하면…”(민주당 울산 북 선거사무원) “안 돼!”(민주당 한 지지자) 이해찬 더불어민주당 대표가 14일 찾은 울산 진장동 이상헌(울산 북) 후보 유세...
"더불어민주당 광주시당 \""세월호 진상규명 촉구\""","더불어민주당 광주시당이 세월호 참사에 대한 진상 규명을 촉구했습니다. 민주당은 세월호 참사?6주기가 다가오지만 책임자에 대한 처벌이 이뤄지지 않는 것을 지적하며,?현재 진행 중인 검찰 수사를 통해 분명한..."
[포토] 지지 호소하는 중구성동구을 더불어민주당 박성준 후보,제21대 국회의원선거 서울 중구성동구을에 출마한 더불어민주당 박성준 후보가 14일 오후 서울 종로구 마전교 앞에서 열린 선거유세에서 시민들에게 지지를 호소 하고 있다.
더불어민주당 충남도당 '도민 현명한 선택 기대',"더불어민주당 충남도당은 14일 성명을 통해 ""이번 선거는 코로나19로 인해 정책과 비전, 인물을 알리기에 어려움이 컸으나 코로나19를 극복하고 새로운 미래를 준비하기 위해 그 어느 때보다 절실하게 선거운동에 임해왔다..."
경력마저 속이는 더불어민주당 후보들. 국민 앞에 사죄하고 즉각 후보직에서 ...,"더불어민주당?총선?후보들의?허위사실?공표?행위가?위법행위로?속속?밝혀지고?있다. 더불어민주당?인천?남동갑?맹성규?후보는?선거공보물과?선거벽보에?국토교통부에서?30년간?근무했다고?밝혔지만,?실제..."
울산 찾은 더불어민주당·시민당 선대위,"더불어민주당 이해찬 대표가 14일 오후 울산 북구 이상헌 후보 선거사무소에서 열린 더불어민주당·더불어시민당 합동 선거대책위원회에서 발언하고 있다. 왼쪽 네 번째부터 이해찬 대표, 더불어시민당 우희종..."
"더불어민주당 서동용 국회의원 후보, 광양 중마동 마지막 유세","성명서 통해 선거운동 소회 밝히고 마지막 지지 호소 김성철 기자, 순천·광양·곡성·구례을 기호1번 더불어민주당 서동용 후보가 오후 7시 30분 광양시 중마동 새마을금고 사거리에서 마지막 유세로 선거운동을 종료한다...."
울산 찾은 더불어민주당·시민당 선대위,"더불어민주당 이해찬 대표가 14일 오후 울산 북구 이상헌 후보 선거사무소에서 열린 더불어민주당·더불어시민당 합동 선거대책위원회에서 발언하고 있다. 왼쪽 네 번째부터 이해찬 대표, 더불어시민당 우희종..."
울산 찾은 더불어민주당·시민당 선대위,"14일 오후 울산 북구 이상헌 후보 선거사무소에서 열린 더불어민주당·더불어시민당 합동 선거대책위원회에서 참석자들이 ""울산 경제를 반드시 일으켜 세우겠습니다""라는 문구를 들어 보이고 있다. 왼쪽 네 번째부터..."
더불어민주당·시민당 합동 선거대책위,14일 오후 울산 북구 이상헌 후보 선거사무소에서 열린 더불어민주당·더불어시민당 합동 선거대책위원회에서 더불어시민당 우희종 상임선대위원장이 발언하고 있다. 왼쪽은 더불어민주당 이해찬 대표. 2020.4.14
울산 더불어민주당·시민당 합동 선거대책위,더불어민주당 이해찬 제21대 국회의원선거 상임선거대책위원장이 14일 오후 울산 북구 이상헌 후보 선거사무소에 참석하여 열린 더불어민주당·더불어시민당 합동 선거대책위원회에서 공약 정책 협약 뒤...
"이정근 더불어민주당 서초갑후보, 소상인이 웃을 수 있는 서초 만들겠다",-골목골목의 상가들이 잘되는 게 대한민국이 잘되는 애국 이정근 더불어민주당 서초갑 후보가 21대국회의원 선거를 하루앞둔 14일 ‘서초도 바꿉시다. 서초를 지킵시다.’라는 타이틀을 바탕으로 “힘 있는 집권여당...
더불어민주당·더불어시민당 합동 선대위회의,이해찬 더불어민주당 상임선대위원장이 14일 오후 울산 북구 이상헌 후보 선거사무소에서 열린 더불어민주당·더불어시민당 합동 선대위회의에 참석하고 있다. 2020.4.14/뉴스1
"조오섭 광주 북구 갑 후보 ""검찰개혁 완수는 더불어민주당 총선 승리""","조오섭 광주 북구 갑 국회의원 후보 조오섭 더불어민주당 광주 북구 갑 국회의원 후보는 14일 ""공식선거운동을 마치며 문재인 대통령과 더불어민주당이 시작한 공수처 설치 등 검찰개혁을 완수하기 위해서는 4.15 국회의원..."
"이해찬, 더불어민주당·더불어시민당 합동 선대위회의 참석",이해찬 더불어민주당 상임선대위원장이 14일 오후 울산 북구 이상헌 후보 선거사무소에서 열린 더불어민주당·더불어시민당 합동 선대위회의에서 모두발언을 하고 있다. 2020.4.14/뉴스1
"(4·15 총선 드론)더불어민주당 김현권 구미을 후보, 일자리 1만3천 개 만들겠...","김현권 더불어민주당 구미을 후보.더불어민주당 김현권 구미을 후보가 1만3천 개의 일자리를 만들겠다고 공약했다. 김 후보는 “핵심공약인 일자리 1만3천 개는 정부와 지자체, 대학 등이 국책사업 추진에 따른..."
[포토] 선거 하루 앞두고 마지막 유세하는 이낙연 더불어민주당 후보,21대 국회의원 선거를 하루 앞둔 14일 오후 서울 종로에 출마한 이낙연 더불어민주당 후보가 종로5가 마전교 앞에서 중구 성동을 박성준 후보와 함께 지지를 호소하고 있다. / 손진영기자 son@ 21대 국회의원 선거를...
울산교육감이 '더불어민주당' 소속? 조선일보 보도 논란,"이 신문은 ""울산시교육청(교육감 노옥희, 더불어민주당, 사진)이 전국 최초로 지역의 모든 학생에게 '교육재난지원금'을 10만 원씩 지급하겠다고 나섰다""고 보도했다. 또한 ""여당 교육감이 여당의 선거 운동을 측면..."
"더불어민주당 시흥갑 선거대책위, 유세차 파손 등에 대한 입장 발표","더불어민주당 시흥갑 선거대책위원회는 지난 13~14일 사이 미래통합당 측 선거유세차가 파손된 사건과 관련해 ""유세차 파손을 통한 선거운동 방해는 엄연한 불법이므로 빠른 수사로 진상을 조사해야 한다""는 공식 입장을..."
"더불어민주당 서동용 후보, 광양 중마동에서 마지막 유세 '마무리'",순천광양곡성구례을 지역구에 출마한 더불어민주당 서동용 후보는 14일 오후 7시 30분 광양시 중마동 새마을금고 사거리를 마지막 유세로 선거운동을 종료한다고 밝혔다. 서동용 후보는 이날 발표한 성명을 통해 “3월 말...
지지 호소하는 이낙연 더불어민주당 종로구 후보,제21대 국회의원 선거를 하루 앞둔 14일 오후 서울 종로구에 출마한 더불어민주당 이낙연 후보가 종로5가 마전교 앞에서 지지를 호소하고 있다.
지지 호소하는 더불어민주당 종로구 후보 이낙연,제21대 국회의원 선거를 하루 앞둔 14일 오후 서울 종로구에 출마한 더불어민주당 이낙연 후보가 종로5가 마전교 앞에서 지지를 호소하고 있다.
지지 호소하는 더불어민주당 중구성동구을 박성준 후보,제21대 국회의원 선거를 하루 앞둔 14일 오후 서울 중구성동구을에 출마한 더불어민주당 박성준 후보가 종로5가 마전교 앞에서 지지를 호소하고 있다.
"[총선]더불어민주당 전북도당, 개혁 정치를 위한 지지 호소","더불어민주당 전북도당 선거대책위원회(이하 전북도당 선대위)가 제 21대 국회의원 선택 하루를 앞두고 소속 후보와 민주당 지지를 호소했다. 14일 전북도당 선대위는 '전북도민께 드리는 글'이라는 제목으로 ""촛불혁명의..."
더불어민주당-더불어시민당 합동 선거대책회의 모두발언,"더불어민주당-더불어시민당 합동 선거대책회의 모두발언 ? □ 일시 : 2020년 4월 14일(화) 오후 2시□ 장소 : 울산 북구 이상헌 후보 선거사무소 (울산 북구 호계로 267, 1층) ? ■ 이해찬 상임선대위원장 ? 존경하는 울산 시민..."
발언하는 이낙연 더불어민주당 상임선거대책위원장,
지지호소하는 이낙연 더불어민주당 상임선거대책위원장,
[포토]손 흔드는 이낙연 더불어민주당 종로구 후보,21대 총선 서울 종로에 출마한 이낙연 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 선거 유세를 하고 있다. 방인권
준비중인 더불어민주당 개표상황실,21대 국회의원 선거 하루전인 14일 서울 여의도 국회 의원회관에 마련되는 더불어민주당 개표상황실에는 당직자들 및 방송관계자들이 준비작ㅈ엄을 하며 분주히 움직이고 있다. 2020.04.14. kmx1105@newsis.com...
준비중인 더불어민주당 개표상황실,21대 국회의원 선거 하루전인 14일 서울 여의도 국회 의원회관에 마련되는 더불어민주당 개표상황실에는 당직자들 및 방송관계자들이 준비작ㅈ엄을 하며 분주히 움직이고 있다. 2020.04.14. kmx1105@newsis.com...
[포토]시민에게 명함 받는 이낙연 더불어민주당 종로구 후보,21대 총선 서울 종로에 출마한 이낙연 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 선거 유세를 하고 있다. 방인권
준비중인 더불어민주당 개표상황실,21대 국회의원 선거 하루전인 14일 서울 여의도 국회 의원회관에 마련되는 더불어민주당 개표상황실에는 당직자들 및 방송관계자들이 준비작ㅈ엄을 하며 분주히 움직이고 있다. 2020.04.14. kmx1105@newsis.com...
[포토]박수치는 이낙연 더불어민주당 종로구 후보,21대 총선 서울 종로에 출마한 이낙연 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 선거 유세를 하고 있다. 방인권
[포토]선거유세하는 이낙연 더불어민주당 종로구 후보,21대 총선 서울 종로에 출마한 이낙연 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 선거 유세를 하고 있다. 방인권
[포토]선거유세하는 박성준 더불어민주당 중구성동구을 후보,21대 총선 서울 중구성동구을에 출마한 박성준 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 선거 유세를 하고 있다. 방인권
[포토]물 마시는 박성준 더불어민주당 중구성동구을 후보,21대 총선 서울 중구성동구을에 출마한 박성준 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 선거 유세 중 물을 마시고 있다. 방인권
[포토]선거유세하는 박성준 더불어민주당 후보,21대 총선 서울 중구성동구을에 출마한 박성준 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 선거 유세를 하고 있다. 방인권
[포토]지지 호소하는 이낙연-박성준 더불어민주당 후보,21대 총선 서울 종로에 출마한 이낙연 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 박성준 중구성동구을 후보와 합동 유세를 하고 있다. 방인권
[포토]악수하는 이낙연-박성준 더불어민주당 후보,21대 총선 서울 종로에 출마한 이낙연 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 박성준 중구성동구을 후보와 악수를 하고 있다. 방인권
[포토]더불어민주당 이낙연-박성준 합동유세에 쏠린 눈,21대 총선 서울 종로에 출마한 이낙연 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 박성준 중구성동구을 후보와 합동 유세를 하고 있다. 방인권
[포토]더불어민주당 이낙연-박성준 합동유세에 몰린 유권자들,21대 총선 서울 종로에 출마한 이낙연 더불어민주당 후보가 14일 오후 서울 종로5가 마전교 앞에서 박성준 중구성동구을 후보와 합동 유세를 하고 있다. 방인권
지지호소하는 박성준 더불어민주당 후보,
[포토]더불어민주당 이낙연-박성준 합동유세에 몰린 유권자들,21대 총선 서울 종로에 출마한 더불어민주당 이낙연 후보가 14일 오후 서울 종로5가 마전교 앞에서 박성준 중구성동구을 후보와 합동 유세를 하고 있다. 방인권
개표상황실 설치하는 더불어민주당,4.15총선 하루 전인 14일 서울 여의도 국회의원회관 대회의실에서 더불어민주당 관계자들이 개표상황실 설치를 하고 있다. 2020.4.14/뉴스1
총선D-1 '더불어민주당 개표상황실 설치',4.15총선 하루 전인 14일 서울 여의도 국회의원회관 대회의실에서 더불어민주당 관계자들이 개표상황실 설치를 하고 있다. 2020.4.14/뉴스1
더불어민주당 '개표상황실 준비',4.15총선 하루 전인 14일 서울 여의도 국회의원회관 대회의실에서 더불어민주당 관계자들이 개표상황실 설치를 하고 있다. 2020.4.14/뉴스1
개표상황실 준비로 분주한 더불어민주당,4.15총선 하루 전인 14일 서울 여의도 국회의원회관 대회의실에서 더불어민주당 관계자들이 개표상황실 설치를 하고 있다. 2020.4.14/뉴스1
개표상황실 설치로 분주한 더불어민주당,4.15총선 하루 전인 14일 서울 여의도 국회의원회관 대회의실에서 더불어민주당 관계자들이 개표상황실 설치를 하고 있다. 2020.4.14/뉴스1
"조오섭 후보 ""검찰개혁 완수는 더불어민주당 총선 승리뿐""","조오섭 더불어민주당 북구갑 국회의원 후보는 14일 ""공식선거운동을 마치며 문재인 대통령과 더불어민주당이 시작한 공수처 설치 등 검찰개혁을 완수하기 위해서는 15일 국회의원 선거에서 더불어민주당으로 힘을 모아야..."
박성준 후보 지지발언하는 최운열 더불어민주당 의원,
"다섯 번째 북한 도발, 이래도 북한 바라기 더불어민주당인가. [선대위 정연국...","내일 4.15 총선에서 더불어민주당이 원하는 결과를 얻는다면, 대한민국 안보 또한 요원해질 것이다. ? 더불어민주당 도종환 후보는 “북한보다 우리가 더 많은 미사일을 쐈다”며 북한 편을 들고, 북한 미사일 도발의..."
"[총선]김윤덕 더불어민주당 전주시 갑 후보, ""문재인 정부 성공과 잘사는 전북...","김윤덕 더불어민주당 전주시 갑 국회의원 후보는 4.15총선 마지막 선거운동일인 14일 지역구를 순회하고 지원 유세활동을 이어갔다. 김윤덕 후보는 이날 ""이번 총선은 문재인 정부를 지켜내고 잘사는 전북, 행복한 전주를..."
"박지원 후보 ""더불어민주당은 목포를 버렸다""","선대위 관계자, 자원봉사자분에게 감사한다”고 말문을 연뒤 “이번 선거에서 더불어민주당은 목포를 버렸다”고 강도높게 비난했다.박지원 후보는 14일 선거운동 최종일 기자회견을 가진 자리에서 ""전남 서남권..."
"윤영일 ""더불어민주당은 윤재갑 후보 제명하라""",해남·완도·진도선거구 민생당 윤영일 후보는 14일 기자회견을 열어 더불어민주당은 윤재갑 후보를 제명하라고 촉구했다. [사진=윤영일 후보 선거사무소] 해남·완도·진도선거구 민생당 윤영일 후보는 14일 기자회견을...
울산서 열린 더불어민주당·시민당 합동 선거대책위,14일 오후 울산 북구 이상헌 후보 선거사무소에서 열린 더불어민주당·더불어시민당 합동 선거대책위원회에서 공약 정책 협약이 이뤄지고 있다. 2020.4.14
더불어민주당·시민당 합동 선거대책위,더불어민주당 이해찬 대표(오른쪽 세 번째)가 14일 오후 울산 북구 이상헌 후보 선거사무소에서 열린 더불어민주당·더불어시민당 합동 선거대책위원회에서 발언하고 있다. 2020.4.14
[포토] 대구 북구을 홍의락 더불어민주당 후보 출근길 인사,제21대 국회의원선거를 하루 앞둔 14일 오전 대구 북구 무태성당 인근에서 홍의락 더불어민주당 후보 (북구을)가 유권자들에게 출근길 인사를 하고 있다. 제21대 국회의원선거를 하루 앞둔 14일 오전 대구 북구 무태성당...
[총 선] 더불어민주당 청주권 4명의 후보들 성안길 합동유세,"더불어민주당 청주권 후보인 상당구 정정순, 흥덕구 도종환, 서원구 이장섭, 청원구 변재일 후보등은 총선 투표 하루전인 14일 청주시 성안길 로데오 거리에서 오전 11시 부터 합동 유세를 가졌다. 이들은 ‘국민을..."
선관위와 더불어민주당은 서울 광진을을 무법 지대로 만들지 말라![선대위 김...,"어제(13일) 더불어민주당 이인영 원내대표는 서울 광진을 지원유세에서 고민정 후보를 당선시켜주면 국민 100% 모두에게 긴급재난지원금을 주겠다고 했다. 얼마나 광진을 유권자와 국민을 우습게 알았으면, 더불어민주당..."
"더불어민주당 대구시 수성구 구의원들, 수성구청 성토... “저소득층 한시생활...","더불어민주당(이하 민주당) 대구시 수성구 구의원들은 수성구청 앞에서 '저소득층 한시생활지원금 즉시 지급'을 촉구하는 피켓시위를 벌였다.?민주당 구의원들은 ""저소득층 한시생활지원금 국비 예산 89억원이..."
선대위 회의 참석한 더불어민주당 이낙연 상임선대위원장,더불어민주당 이낙연 상임선대위원장이 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에서 자료를 검토하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나 전파?▶제보하기
발언하는 더불어민주당 이해찬 상임선대위원장,더불어민주당 이해찬 상임선대위원장이 14일 서울 여의도 국회에서 열린 더불어민주당-더불어시민당 합동 선거대책위원회의에서 발언하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나...
선대위 회의 참석한 더불어민주당 이낙연 상임선대위원장,더불어민주당 이낙연 상임선대위원장이 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에서 자료를 검토하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나 전파?▶제보하기
선대위 회의 참석하는 더불어민주당 이해찬-이낙연,더불어민주당 이해찬-이낙연 상임선대위원장이 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에 입장하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나 전파?▶제보하기
선대위 회의 참석하는 더불어민주당 이해찬-이낙연,더불어민주당 이해찬-이낙연 상임선대위원장이 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에 입장하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나 전파?▶제보하기
한자리에 모인 더불어민주당-더불어시민당,더불어민주당 이낙연 상임선대위원장과 더불어시민당 우희종 공동대표 등이 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에서 기념촬영을 하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G...
선대위 회의 참석하는 더불어민주당 이해찬-이낙연,더불어민주당 이해찬-이낙연 상임선대위원장이 14일 서울 여의도 국회에서 열린 합동 더불어민주당-더불어시민당 선거대책위원회의에 입장하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가...
한자리에 모인 더불어민주당-더불어시민당,더불어민주당 이낙연 상임선대위원장과 더불어시민당 우희종 공동대표 등이 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에서 기념촬영을 하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G...
선대위 회의 참석하는 더불어민주당 이해찬-이낙연,더불어민주당 이해찬-이낙연 상임선대위원장이 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에 입장하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나 전파?▶제보하기
대화하는 더불어민주당 이해찬-더불어시민당 우희종,더불어민주당 이해찬 대표와 더불어시민당 우희종 공동대표가 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에서 대화하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나 전파?...
선대위 회의 참석하는 더불어민주당 이해찬-이낙연,더불어민주당 이해찬-이낙연 상임선대위원장이 14일 서울 여의도 국회에서 열린 합동 더불어민주당-더불어시민당 선거대책위원회의에 입장하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가...
대화하는 더불어민주당 이해찬-더불어시민당 우희종,더불어민주당 이해찬 대표와 더불어시민당 우희종 공동대표가 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에서 대화하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나 전파?...
선대위 회의 참석하는 더불어민주당 이해찬-이낙연,더불어민주당 이해찬-이낙연 상임선대위원장이 14일 서울 여의도 국회에서 열린 합동 선거대책위원회의에 입장하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나 전파?▶제보하기
발언하는 더불어민주당 이해찬 상임선대위원장,더불어민주당 이해찬 상임선대위원장이 14일 서울 여의도 국회에서 열린 더불어민주당-더불어시민당 합동 선거대책위원회의에서 발언하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나...
발언하는 더불어민주당 이해찬 상임선대위원장,더불어민주당 이해찬 상임선대위원장이 14일 서울 여의도 국회에서 열린 더불어민주당-더불어시민당 합동 선거대책위원회의에서 발언하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나...
발언하는 더불어민주당 이해찬 상임선대위원장,더불어민주당 이해찬 상임선대위원장이 14일 서울 여의도 국회에서 열린 더불어민주당-더불어시민당 합동 선거대책위원회의에서 발언하고 있다. 2020.4.14 jeong@yna.co.kr ▶[팩트체크] 5G 네트워크가 코로나...
유권자 이야기 듣는 강준현 더불어민주당 세종을 후보,강준현 더불어민주당 세종을 후보가 14일 세종시 조치원읍 세종전통시장에서 4.15 총선을 하루 앞두고 열린 마지막 열린 집중유세에서 유권자들과 인사를 나누고 있다. 2020.4.14/뉴스1
"한국노총경남본부 진해동부지역지부, 진해 더불어민주당 황기철 후보 지지선언",14일 한국노총경남본부 진해동부지역지부 대표자 일동이 더불어민주당 황기철 국회의원 후보 지지를 선언하고 있다.(사진제공=진해동부지역지부 대표자) [아시아뉴스통신=최근내 기자] 한국노총경남본부...
"정다은 더불어민주당 경주시 국회의원 후보, 장애인 차별 철폐 정책협약 체결","경주시민 도움 호소 “찍자 기호 1번” 권민수 기자, 정다은 제21대 더불어민주당 후보는 14일 420장애인차별철폐경주공동투쟁단과 장애인이 평등한 세상을 실천하기 위해 정책협약을 체결했다. 이는 주요 21대 입법 제..."
"외신 ""문 대통령 '코로나19 억제' 성공, 더불어민주당에 도움""",4·15 총선이 하루 앞으로 다가온 가운데 문재인 대통령의 코로나19(신종 코로나바이러스 감염증) 확산 억제 성공이 여당인 더불어민주당에 도움을 줄 수 있을 것이란 외신 보도가 나왔다. 미국의 경제전문 매체인...
